"Sample_ID","JD","TSSR"
"grass_m:12UYB06:13:2018-5-30T5:28:00Z:51.067142:-108.036041",149,-5.60637206859059
"grass_m:12UYB06:14:2018-6-3T5:57:00Z:51.134792:-108.097198",153,-5.07041424300936
"grass_m:12UYB06:15:2018-5-30T5:39:00Z:51.067101:-108.048744",149,-5.4238884349664
"grass_m:12UYB06:16:2018-6-3T7:40:00Z:51.1385:-108.074097",153,-3.35189402288861
"grass_m:12UYB07:01:2018-6-25T8:20:00Z:51.20657:-108.050858",175,-2.62945777866575
"grass_m:12UYB07:03:2018-6-8T8:19:00Z:51.214584:-108.050858",158,-2.64748845140139
"grass_m:12UYB07:04:2018-6-8T9:12:00Z:51.190346:-108.050774",158,-1.76628630393081
"grass_m:12UYB07:06:2018-6-3T8:24:00Z:51.15435:-108.01992",153,-2.61360672864649
"grass_m:12UYB07:07:2018-6-3T8:11:00Z:51.154404:-108.063736",153,-2.83318851119942
"grass_m:12UYB07:09:2018-6-25T8:33:00Z:51.18343:-108.054581",175,-2.41515319711632
